"Reference";"Qty";"Value";"Manufacturer_Name";"Manufacturer_Part_Number"
"U402,U501";"2";"ATF22V10";"Microchip";"ATF22V10C-10PU"
"U405";"1";"YM2149";"Yamaha";"YM2149"
"U406";"1";"DS1307";"Analog Devices";"DS1307Z+T&R"
"U407";"1";"24AA02E48";"Microchip";"24AA02E48T-I/OT"
"U601";"1";"CNY17F-3";"Vishay";"CNY17F-3"
"U602";"1";"74LS07";"Texas Instruments";"SN74LS07DR"
"U603";"1";"PAM8302";"Diodes Incorporated";"PAM8302AADCR"
"U604";"1";"MCP4251";"Microchip";"MCP4251T-103E/SL"
"X101";"1";"48Mhz (3.3V)";"Abracon";"ACHL-48.000MHZ-EK"
"X301";"1";"24Mhz (3.3V)";"Abracon";"ASE-24.000MHZ-L-C-T"
"X302";"1";"22.5792MHz (3.3V)";"Abracon";"ASELJ-E-22.5792MHz-L-R-T"
"X401";"1";"8Mhz (5V)";"Abracon";"ACH-8.000MHZ-EK"
"X501";"1";"14.31818Mhz (5V)";"Abracon";"ACH-14.31818MHZ-EK"
"Y401";"1";"2.4576Mhz";"CTS";"MP024S"
"Y402";"1";"32.768kHz";"ECS";"ECS-.327-12.5-13X-C"
